endTime,artistName,trackName,msPlayed,genres
2022-12-17 04:48,Khalid,Outta My Head (with John Mayer),1898,"['pop', 'pop r&b']"
2022-12-17 04:48,Coldplay,Hymn for the Weekend,1066,"['permanent wave', 'pop']"
2022-12-17 04:48,POWERS,Heavy,938,['underground hip hop']
2022-12-17 04:48,The Psychedelic Furs,Love My Way,2325,"['alternative rock', 'new romantic', 'new wave', 'new wave pop', 'post-punk']"
2022-12-17 04:48,The Neighbourhood,Sweater Weather,1024,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie']"
2022-12-17 04:48,Absofacto,Dissolve,511,['shimmer psych']
2022-12-17 04:48,5 Seconds of Summer,Talk Fast,960,"['boy band', 'pop']"
2022-12-17 04:48,"Earth, Wind & Fire",September,3114,"['disco', 'funk', 'jazz funk', 'soul']"
2022-12-17 04:48,Daughter,Winter,981,"['ccm', 'christian alternative rock', 'deep ccm', 'worship']"
2022-12-17 04:52,John Mayer,I Guess I Just Feel Like,204906,"['neo mellow', 'singer-songwriter']"
2022-12-17 04:57,Lana Del Rey,Change,321200,"['art pop', 'pop']"
2022-12-17 04:58,Maroon 5,Memories,32795,['pop']
2022-12-17 05:02,The Lumineers,Sleep On The Floor,211851,"['folk-pop', 'modern rock', 'stomp and holler']"
2022-12-17 05:05,Sam Wills,Traingazing,214159,['uk contemporary r&b']
2022-12-17 05:06,Wolftyla,All Tinted,75196,['trap queen']
2022-12-17 05:09,dhruv,double take,171743,['nyc pop']
2022-12-17 05:13,Wolftyla,All Tinted,197952,['trap queen']
2022-12-17 05:18,FKJ,Vibin' Out,311837,"['filter house', 'indie soul']"
2022-12-17 05:21,Jenevieve,Baby Powder,176760,['alternative r&b']
2022-12-17 05:23,HONNE,no song without you,160346,['uk pop']
2022-12-17 05:27,Doja Cat,Streets,226986,"['dance pop', 'pop']"
2022-12-17 05:28,The Lumineers,Sleep On The Floor,68386,"['folk-pop', 'modern rock', 'stomp and holler']"
2022-12-17 05:59,TVN,1%,169920,[]
2022-12-17 06:02,Post Malone,I Like You (A Happier Song) (with Doja Cat),6613,"['dfw rap', 'melodic rap', 'pop', 'rap']"
2022-12-17 06:02,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,157560,"['dfw rap', 'melodic rap', 'pop', 'rap']"
2022-12-17 06:02,Doja Cat,Freak,1087,"['dance pop', 'pop']"
2022-12-17 06:02,benny blanco,Eastside (with Halsey & Khalid),10857,['pop']
2022-12-17 06:06,Lana Del Rey,Lust For Life (with The Weeknd),25019,"['art pop', 'pop']"
2022-12-17 06:06,Lana Del Rey,Change,1770,"['art pop', 'pop']"
